Transaction_Amount,Transaction_Type,Location,Time_of_Day,Card_Type,Previous_Fraud_History,Account_Age,Credit_Utilization,Fraudulent
870,In-Person,International,Morning,Credit,0,4,0.8116370124472225,0
3782,Online,International,Night,Credit,0,2,0.42571217429668795,0
3102,Online,Domestic,Afternoon,Debit,0,3,0.947162184670194,0
476,In-Person,International,Morning,Debit,1,1,0.716514603987103,0
4436,Online,International,Morning,Debit,1,6,0.16938842649796237,0
3454,Online,Domestic,Afternoon,Debit,1,4,0.19766784592510722,0
3181,In-Person,International,Afternoon,Credit,1,5,0.9017294960336936,0
2929,Online,Domestic,Morning,Credit,0,8,0.8286026612274434,0
140,In-Person,Domestic,Night,Debit,0,4,0.39708481583871436,0
1695,Online,International,Night,Credit,1,6,0.569436367314399,0
779,In-Person,International,Night,Credit,0,3,0.8674735940328778,0
2401,In-Person,International,Afternoon,Debit,1,8,0.1930879937311707,0
2443,In-Person,International,Morning,Credit,1,3,0.22432547940909697,0
1194,Online,International,Night,Credit,0,7,0.7439742448252243,0
4565,In-Person,International,Morning,Debit,0,7,0.17398493419822897,0
3395,Online,International,Night,Credit,0,3,0.4173098467184263,0
4127,In-Person,Domestic,Morning,Credit,1,3,0.32662748993723795,0
4853,In-Person,Domestic,Afternoon,Debit,1,8,0.7842573051425247,1
2914,In-Person,Domestic,Afternoon,Credit,1,3,0.10220308623669133,0
484,Online,International,Afternoon,Debit,0,2,0.2038462452657045,0
1092,Online,International,Night,Debit,0,5,0.1891067869007067,0
2568,In-Person,International,Afternoon,Debit,0,7,0.38626934671113966,0
2057,Online,Domestic,Afternoon,Debit,0,8,0.30923154908983086,0
2757,Online,Domestic,Afternoon,Debit,0,1,0.3054545066194185,0
985,Online,Domestic,Morning,Debit,0,2,0.43335393518620435,0
1816,In-Person,International,Morning,Credit,0,7,0.2926440797380041,0
199,Online,Domestic,Morning,Debit,1,9,0.1955927698178891,0
2744,In-Person,Domestic,Morning,Credit,0,3,0.6249261379028642,0
3015,In-Person,International,Morning,Debit,0,8,0.9565639273181044,0
4668,In-Person,Domestic,Morning,Debit,1,3,0.6464484343343706,0
1909,Online,Domestic,Morning,Debit,1,4,0.7813186035668611,0
1277,In-Person,Domestic,Afternoon,Credit,0,2,0.9749591552728931,0
1538,Online,International,Afternoon,Credit,1,9,0.23784638064271674,0
3212,Online,Domestic,Night,Debit,0,5,0.5138289748799852,0
